steps,return
30,666.8726666666664
31,764.3603333333331
32,738.6582666666669
33,752.0872666666668
34,724.2474333333336
35,773.3418333333329
36,787.8977999999998
37,774.8569666666666
38,785.3952333333333
39,720.4531333333331
40,787.7804333333332
41,784.2827666666666
42,786.1504333333334
43,775.8818333333335
44,768.4957333333335
45,784.1974666666664
46,727.7358000000003
47,769.7300333333329
48,745.2363999999998
49,793.7139000000001
50,775.1379000000001
51,813.0206333333339
52,766.3806333333332
53,769.9314999999997
54,761.3007000000003
55,734.5283333333333
56,664.1256333333332
57,811.496833333333
58,677.8891999999997
59,782.2108333333334
60,836.278033333333
61,878.1276666666666
62,875.0902333333335
63,853.1195333333335
64,878.6194333333333
