steps,return
30,925.3539833333333
31,943.6074333333337
32,949.2123333333338
33,942.0137833333337
34,934.3454999999996
35,940.2315666666664
36,946.103116666667
37,946.936516666667
38,1039.6450999999997
39,1079.6357166666662
40,1137.017783333333
41,1190.5148499999993
42,1148.0410333333334
43,1097.7872333333332
44,1133.6528666666666
45,1198.388966666667
46,1226.3836999999999
47,1288.2119500000001
48,1310.851483333334
49,1329.6061666666665
50,1336.6344333333334
51,1353.647416666667
52,1370.0072499999999
53,1368.9857999999997
54,1372.1252833333328
55,1375.5391333333328
56,1379.5894
57,1378.6764666666666
58,1374.1258166666667
59,1373.8953
60,1370.7442499999997
61,1360.83915
62,1354.1358499999997
63,1353.0185000000004
64,1351.8707500000005
65,1339.5844166666668
66,1333.2368333333336
67,1329.076983333334
68,1323.2308499999997
69,1326.8157333333334
70,1319.0996833333334
71,1302.2619166666666
72,1287.7518666666665
73,1305.3688999999997
74,1300.05365
75,1288.0054000000002
76,1288.1975166666666
77,1271.4902833333335
78,1271.2319833333333
79,1261.5238000000002
80,1256.0038666666667
81,1253.644583333333
82,1248.6341333333335
83,1243.4548000000004
84,1241.7115000000001
85,1243.621833333333
86,1244.7728333333332
87,1230.1725333333327
88,1228.1952499999995
89,1226.1891333333335
90,1218.244183333334
91,1223.0230666666669
92,1227.1990499999995
93,1232.9192499999997
94,1243.4791333333335
95,1238.535366666667
96,1228.5762166666664
97,1218.7825166666664
98,1211.3549333333328
99,1215.9085333333335
100,1205.761666666667
101,1195.1906166666668
102,1206.1690499999997
103,1200.5713500000004
104,1217.3607833333333
105,1215.125233333333
106,1219.8100499999994
107,1203.7541166666672
108,1216.353566666667
109,1214.316583333333
110,1220.8200833333333
111,1211.2767666666662
112,1220.6104333333333
113,1206.6260166666668
114,1200.2917833333333
115,1207.7093333333335
116,1208.2577333333336
117,1219.679516666667
118,1216.9634166666667
119,1221.2953666666665
120,1234.3943000000002
121,1242.587283333333
122,1245.7450666666666
123,1269.8250833333334
124,1270.3962833333333
125,1278.9626833333332
126,1289.8717499999993
127,1293.5431166666667
128,1302.1724000000002
129,1297.0649833333334
130,1308.2630499999996
131,1315.5190166666669
132,1324.86935
133,1321.6132166666664
134,1327.5728500000005
135,1324.8150500000002
136,1336.9114333333334
137,1336.38535
138,1351.983516666667
139,1337.6980666666664
140,1351.7340833333335
141,1359.275383333333
142,1363.7260500000004
143,1367.3780000000004
144,1370.3967166666664
145,1382.2341833333332
146,1383.7060999999997
147,1384.1539833333334
148,1385.823766666667
149,1388.839016666667
150,1388.5068666666666
151,1388.7891166666661
152,1394.6581166666665
153,1395.2835166666673
154,1399.1555333333329
155,1390.7403666666667
156,1394.1114
157,1396.2575166666663
158,1397.2955166666663
159,1394.1743999999999
160,1399.4863000000005
161,1400.9202666666667
162,1399.7867500000002
163,1406.4054499999993
164,1409.1560166666668
165,1411.145166666667
166,1421.479016666667
167,1416.3091666666662
168,1424.0680499999999
169,1421.9864499999994
170,1425.9219
171,1426.379933333333
172,1421.26015
173,1430.46515
174,1428.396066666667
