steps,return
30,-2239.991914700535
31,-1401.0868418002071
32,-1416.8879155725704
33,-1395.3647901460236
34,-1370.024037381561
35,-1366.1376562790301
36,-1421.48295240171
37,-1416.0772685928775
38,-1525.4003628142539
39,-1485.216119521334
40,-1542.7636967395858
41,-1510.228431359307
42,-1594.8953204427935
43,-1607.042378945223
44,-1641.4636396184
45,-1647.6993066030846
46,-1663.2378643996135
47,-1647.0960092575008
48,-1705.9626522583421
49,-1607.6821184157102
50,-1654.18574694831
51,-1602.910890919434
52,-1652.8935664334415
53,-1614.5841551954259
54,-1626.356442456156
55,-1583.7341010178252
56,-1617.4301194687046
57,-1617.3217933217334
58,-1637.3897230591535
59,-1642.697209048907
60,-1685.8152960784437
61,-1655.0588389037339
62,-1613.9403023719478
63,-1531.6124903727764
64,-1598.9348557381477
65,-1743.912394948235
66,-1601.701865421089
67,-1685.452066624392
68,-1583.9440038056891
69,-1578.7859564300416
70,-1682.6991442837289
71,-1608.983070449639
72,-1555.9407263888484
73,-1606.4674408440674
74,-1584.3779289444328
75,-1588.5816486372582
76,-1580.3746872562056
77,-1572.0560014004498
78,-1539.4628154429056
79,-1497.8439929962997
80,-1497.5458076276234
81,-1487.1378169385748
82,-1518.9998196030951
83,-1513.201146818005
84,-1536.5114258783242
85,-1504.956491752123
86,-1532.032342468984
87,-1528.2503611753707
88,-1543.0424322493227
89,-1526.438105786266
90,-1567.8877791305717
91,-1527.8212793202993
92,-1602.340558586118
93,-1578.7161393368615
94,-1620.1396291560634
95,-1572.4959642936524
96,-1632.6906096287003
97,-1576.7598815419638
98,-1713.730269297146
99,-1706.2873313857685
100,-1712.4526217214457
101,-1733.729365600712
102,-1682.0432476459332
103,-1717.2835184811393
104,-1670.9713696085528
105,-1648.6455708172816
106,-1740.1370252814563
107,-1733.4106220121212
108,-1709.9714712931075
109,-1763.582572058758
110,-1784.8575877222997
111,-1743.5925404001127
112,-1726.9621308719393
113,-1721.2752713258085
114,-1699.9443683313293
115,-1749.8310611066554
116,-1719.4741686431462
